epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,6343.9,0.40888,0.60057,0.36658,0.88472,0.96139,0.97892,0.98388,0.95465,0.96168,0.97922,0.984,0.9402,0.25956,0.38693,0.19314,0.8391,0.000429068,0.000429068,0.000429068
64,6453.97,0.40779,0.59363,0.36738,0.88416,0.97378,0.97029,0.9853,0.95807,0.97407,0.97059,0.98541,0.94239,0.25848,0.38227,0.19238,0.83786,0.000418069,0.000418069,0.000418069
65,6554.79,0.40598,0.60251,0.36392,0.88051,0.96207,0.97499,0.98346,0.95575,0.96236,0.97528,0.98362,0.93934,0.2622,0.38951,0.18808,0.84126,0.00040707,0.00040707,0.00040707
66,6654.5,0.40141,0.59593,0.35892,0.87984,0.96029,0.97592,0.98363,0.95536,0.96058,0.97621,0.98371,0.94097,0.25874,0.38389,0.19074,0.83786,0.000396071,0.000396071,0.000396071
67,6754.7,0.40728,0.59375,0.36443,0.8813,0.95442,0.97797,0.97765,0.94865,0.95471,0.97827,0.97779,0.93362,0.26012,0.38381,0.19465,0.83876,0.000385073,0.000385073,0.000385073
68,6865.58,0.40455,0.59499,0.36059,0.88215,0.95366,0.98156,0.98134,0.95186,0.95396,0.98185,0.98146,0.93947,0.26379,0.38704,0.19607,0.84022,0.000374074,0.000374074,0.000374074
69,6967.26,0.40313,0.59216,0.35184,0.88166,0.96161,0.97491,0.98528,0.95645,0.96191,0.9752,0.98541,0.94046,0.26278,0.38801,0.19184,0.84008,0.000363075,0.000363075,0.000363075
70,7066.73,0.39892,0.58699,0.34682,0.87729,0.96231,0.97311,0.98265,0.95547,0.96261,0.9734,0.98277,0.94018,0.25456,0.3846,0.19212,0.83796,0.000352076,0.000352076,0.000352076
71,7169.29,0.40584,0.59276,0.35683,0.88376,0.95024,0.98043,0.98251,0.95303,0.95053,0.98073,0.98281,0.94071,0.25771,0.38496,0.19448,0.83693,0.000341077,0.000341077,0.000341077
72,7270.12,0.39779,0.58353,0.35036,0.87811,0.96646,0.97115,0.98489,0.95765,0.96678,0.97137,0.98496,0.94183,0.25815,0.3854,0.18685,0.83772,0.000330078,0.000330078,0.000330078
73,7380.89,0.39496,0.5789,0.34061,0.87559,0.95053,0.98278,0.97992,0.9531,0.95082,0.98307,0.97997,0.93909,0.25668,0.38354,0.19007,0.8381,0.000319079,0.000319079,0.000319079
74,7480.24,0.39198,0.58179,0.33971,0.8762,0.95463,0.97935,0.97599,0.94879,0.95493,0.97965,0.97605,0.93313,0.25543,0.38149,0.18629,0.83835,0.00030808,0.00030808,0.00030808
75,7580.04,0.39407,0.58355,0.33605,0.87558,0.95967,0.97443,0.97515,0.94848,0.95997,0.97473,0.97537,0.93367,0.25565,0.3826,0.19075,0.83725,0.000297081,0.000297081,0.000297081
76,7679.81,0.3931,0.57452,0.33775,0.87457,0.95765,0.9764,0.97627,0.94883,0.95794,0.9767,0.97646,0.93269,0.25708,0.38392,0.19122,0.83873,0.000286083,0.000286083,0.000286083
77,7779.45,0.39012,0.58012,0.33406,0.87606,0.96083,0.97351,0.97911,0.95261,0.96113,0.97381,0.97922,0.93662,0.25491,0.38373,0.18868,0.83756,0.000275084,0.000275084,0.000275084
78,7879.13,0.38675,0.56737,0.33444,0.87394,0.96317,0.96694,0.98351,0.95647,0.96347,0.96724,0.98368,0.94051,0.2582,0.38468,0.18953,0.83722,0.000264085,0.000264085,0.000264085
79,7988.78,0.38775,0.56855,0.32626,0.87186,0.95399,0.97723,0.97847,0.95295,0.95428,0.97753,0.97874,0.93645,0.25369,0.38317,0.1895,0.83591,0.000253086,0.000253086,0.000253086
